"shoot","gravity","acres","percent","island","box","grandmother","nuts","cloud","stared","might","yard","necessary","would","available"
"studying","see","system","allow","equipment","serious","ability","entire","too","science","down","poem","pencil","entire","process"
"worry","vast","gasoline","pack","line","rain","wore","thing","theory","palace","coast","probably","spider","bridge","local"
"careful","breakfast","gradually","becoming","sport","gave","higher","judge","plates","late","edge","mirror","pour","satellites","lay"
"property","taught","largest","consider","evidence","search","claws","stronger","one","planet","stand","dawn","closely","giving","share"
"upper","series","stop","your","out","gather","all","excitement","habit","bag","while","moment","mistake","rapidly","powder"
"solar","think","plenty","part","listen","whispered","further","shape","division","toy","smallest","strength","zero","sitting","society"
"have","recall","floor","thousand","get","warm","helpful","ship","own","slow","other","made","apple","command","why"
"volume","stone","tone","modern","ice","greatest","lay","slight","gradually","baseball","want","planned","empty","test","explanation"
"discuss","southern","gate","dawn","include","paragraph","space","basis","into","cutting","stopped","art","harbor","your","soil"
"easy","occur","stock","come","glass","strength","coffee","blank","breath","held","use","chicken","third","original","lead"
"atom","atmosphere","smell","front","article","essential","wave","trip","fair","apart","dirty","teacher","report","angry","diagram"
"meal","can","accident","bone","state","fully","just","expression","wide","wild","car","complex","ants","show","double"
"careful","experience","main","place","along","grabbed","suggest","electricity","pony","fed","known","wonderful","down","growth","pleasant"
"report","dried","zero","why","bottom","coat","its","lonely","beauty","distance","unit","thumb","bank","putting","shot"
"train","smallest","cowboy","bite","condition","also","aware","finally","congress","term","similar","roll","valley","weigh","corn"
"beside","leaving","transportation","hard","log","join","prevent","walk","surprise","regular","upper","carefully","drawn","lift","began"
"brief","popular","life","captain","salt","wonderful","sink","torn","bee","end","been","inch","race","example","older"
"beginning","industrial","willing","keep","forty","answer","round","carry","continued","straw","begun","musical","send","away","common"
"pick","recent","effect","forty","talk","radio","about","pretty","connected","writer","front","travel","simple","near","interest"
"brave","apart","decide","final","positive","shorter","planning","former","cow","due","hung","sheep","nest","biggest","cut"
"gas","agree","correctly","pattern","drawn","child","purple","material","men","about","breeze","likely","whole","strip","guide"
"its","idea","willing","angry","behavior","rocky","whole","every","flat","sail","suddenly","easily","force","ourselves","realize"
"decide","below","waste","terrible","caught","degree","additional","news","salt","impossible","vegetable","year","hour","verb","excited"
"western","dropped","won","clearly","vote","bend","syllable","root","see","railroad","provide","completely","result","basket","led"
"operation","act","far","plain","some","ice","people","clay","us","recent","cutting","tried","carbon","heavy","flow"
"arrow","farther","mine","letter","football","various","star","taste","garden","smell","tip","pan","gradually","ten","ourselves"
"activity","ants","touch","canal","standard","neck","leaving","enjoy","his","nearer","pattern","blue","avoid","our","teacher"
"trace","about","current","roar","half","leg","cry","hardly","conversation","dozen","stopped","cloth","caught","cheese","against"
"development","promised","garage","depth","screen","feed","read","held","than","pen","zero","lay","direction","swam","habit"
"plural","seeing","into","circus","began","lesson","truck","slowly","call","young","plates","fell","note","clothing","open"
"line","hearing","nearly","broke","run","taken","someone","claws","alone","chosen","brain","bright","according","seems","pictured"
"poetry","gradually","replied","till","worry","correctly","airplane","star","heading","total","melted","mother","shelter","river","suggest"
"opposite","typical","way","ear","arrangement","barn","poem","constantly","opposite","running","active","apart","citizen","start","mail"
